jwat	jwlt	kqat	jdah
arni	arng	erni	aeji
locken	locwen	lpdkeg	lkckfn
orom	oromx	orkk	prok
iyokke	iyolke	jyobke	iyokie
piyo	pilo	lijo	puyo
atworo	atwodo	agwjro	xtwlgo
wamatu	wamati	wsmatu	wamsfk
nginno	nginnj	mtinno	mgljno
obokko	cbokko	lvojko	obolnk
odok	odokj	pdoj	idok
giterro	giterrs	gutfero	tiysrro
muteggi	mutiggi	mutsgno	mutwggi
giyer	giyer	gjuer	yiuer
bigonyowu	bkgonyowu	bkgonyowu	bifobyiwu
elektriciti	elektricitim	elemtricogi	ekdktrkciti
oguro	ogurt	ogufo	igurl
oyabbo	oyabbh	ogxbfo	pyanbo
mau	mas	hau	may
abwota	abwotan	abwktz	afeota
imat	imat	umzt	ibat
tirre	tirrp	fjrre	girrd
mapudi	maoudi	mwlusi	maoudi
cwinye-ni	cwinyetni	dainyf-ni	fwigyr-ni
wadikke	wadpkke	qqdkkke	xxdikke
abimiye	abimiyen	abikiye	afimiue
bicokke	bihokke	vicoklw	bicokue
jwi	jwi	ywi	yai
lalilla	lulilla	makills	lqlippa
larere	iarere	larsrq	maredf
laditta	leditta	ladltva	ladhtha
cuwaan	cuwaana	fuwwsn	cueaxn
yocia	yozia	yocic	yksia
lyer	fyer	lteg	oyer
lad	lar	mad	lsd
lapil	lapdl	lapil	laojl
gugito	gugitoa	furuto	gurifp
gilak	gieak	hklak	golwk
giwitto	gnwitto	gkwktto	glwiyfo
path	pahh	psfh	oagh
otuc	utuc	itkc	ohic
berri	berrip	beeei	vwrrj
enenni	ekenni	enwnbi	eggnni
giwok	giwokb	giwoj	gizok
wanyiko	waqyiko	aanjijo	qanyiko
luker	lukers	oiker	oukef
cela	celam	delz	cepa
mewu]	mewue	mdqu]	mewm]
ateer	aceer	ahedr	sdeer
baraja	baraja	hatqja	baeaja
maberre	maberqe	mahertw	mzderre
opuyo	opuyz	opkto	opiho
tirro	torro	turrl	todfo
labolone	laboyone	lahllonw	oabjlone
ilwob	ilwlb	imsob	ilwog
arukki	arukke	arukij	arukii
canno	canxo	cajni	csnjo
wubiwakke	wubimakke	wtbkwakke	wkbjeakke
gumako	gumako	gykakk	gumako
kalwa	kalka	naiwa	kalaa
keeno	qeeno	keejk	keejo
cik	cak	ciu	fik
ny	nyg	ny	my
ginyommo	ginyommol	fingpmmo	ginyohbo
otyeko	otyeke	ohyeli	otyrkl
odoo-gu	odoo-su	kdok-gu	odok-gi
biryeny	biryenyh	birydty	birtrny
gukwerro	gukverro	giiweero	gukwerdi
culowu	cullwu	dumiwu	eulkwu
aroma	aroms	agomw	srona
pan	jan	pah	oan
uurro	uupro	ujero	ijrto
otwommo	otyommo	otcommo	otqomno
jamiwa	jomiwa	kajlwa	uamida
oyokko	oyokkb	pyokkk	ojomki
gutwii	gutwiil	jutwio	gytaiu
wuco	wuro	wjxo	akco
papo	pafo	papo	pako
indi	itdi	lndj	indi
bayo	qayo	cayo	vayo
jany	rany	yang	yzny
orokke	omokke	irikme	otomne
iwekciŋi	iwekciŋb	lwejfiŋi	kwskciŋl
ojanynye	oianynye	ohanhnte	ojanhnyw
cencen	crncen	cwncdj	cwjceb
cunni	cenni	vugni	xunni
wumaro	wufaro	wumado	wimavo
poland	polandf	looanf	polqje
ojimmo	ojimmo	pjihml	ojjmmo
ebimiyo	ubimiyo	rbinoyo	ebjmiti
onekagi	onekagiq	ojekqgu	pnwjagi
cwalla	cwulla	cwzilz	cqalka
aorogi	aorogu	aovofi	aorkgi
atiro	ntiro	aeiro	atndo
bongi	bongh	bobgl	gongo
aa	am	aa	qa
motti	mbtti	iotti	joyhi
gipwonynye	pipwonynye	gkpwonthye	gipwonhnye
timmo	timzo	yimko	tinmo
gucu	guou	gueu	gjck
amitto	aqitto	wmotti	anjtto
lwitgi	lsitgi	lwitcl	lwitei
judde	juyde	juffe	hudde
wau	jau	sau	sai
gitoo	giloo	giflo	fktko
tyek	tywk	tuel	then
tyekowa	tyekowab	tywkoas	tyekowd
gobagoba	gobagobb	bobaglva	gobatoha
maliyo	maliyv	mwpigo	haliyp
