n'atugamba	n'atugambay	n'atugshga	n'atigamba
ng'ennyana	nguennyana	ng'ejnyana	gv'enhyana
ekiragiddwa	ekiragimdwa	ekorahiddwx	ekiraguddqa
eky'entebe	ekyeentebe	ejy'egtdbe	rky'enfebr
ebyazimbibwako	ebyazimbibwakox	ebgazimbjbaaio	enyazimbibfskp
ekitala	elitala	euoyala	ekjtzla
n'okusaasira	n'okusaaeira	u'okusaqsira	n'okksxasirs
ebiwonvu	ebiwknvu	ebjdongu	sblwojvu
nditendereza	nditenderhza	nxiffnrereza	neitenderezs
kugolokoka	kugobokoka	kuholoklja	juroloklka
gw'onoonya	gw'onoonyg	bw'onoohya	gw'pjoohya
wanunula	wanunila	qznunula	saninula
baagalwa	beagalwa	bwanakwa	nazgalqa
lumuli	luauli	uukuli	myhuli
kosiri	kosuri	kosurh	kodigi
ng'okufa	ng'oxufa	ng'okkfa	nb'okufa
ikkesi	irkesi	lmkesi	ulkesi
n'akutumira	n'akutumiraj	j'skutumira	m'akitujirx
nserengeta	nberengeta	nxftengeta	nwersngwta
lw'abo	lwdabo	kd'sbo	lw'sro
mbatambuza	mwatambuza	mbwtanguza	nbatajhuza
kiss	kigs	kjss	iiss
n'aleetera	s'aleetera	n'aleetera	n'akeetera
kumyansa	kumyansf	nhmyansz	kunuajsa
didumo	diduzo	vidyjo	didjko
ebifunvu	ebifuhvu	ebitknbu	ebibubvu
abatasinza	abatasinha	abqrasimza	zbwtasinza
eryazika	xryazika	efyaziia	fryazika
balifuga	bllifuga	bxiifugx	nslifuga
birabika	birabfka	buvabika	birabiks
ebitukuzibwa	kbitukuzibwa	enitimuzkbwa	rbitukuzibwq
ogutabuddwamu	ogutabuddnamu	ogjtwbudweamu	kgyyabuddaamu
nkuŋŋaanya	nkuŋŋaanha	nkjŋŋaamya	mkuŋŋasnya
n'amafumu	n'amafumue	j'amxcumu	n'amafinu
okukweka	okukwekn	oujkwska	oyuiweka
pereezi	prreezi	oeteszi	kereexk
ery'okubwatuka	erc'okubwatuka	ery'okjbdatuka	erj'ouifwatuka
bamuwuliranga	bamuduliranga	famuwkmirajga	bamuaulirangq
uzzi	uzzs	gzzi	uazj
gufuuse	dufuuse	gufukse	gifuudd
mwakuŋŋaanya	mwakuŋŋaanyb	mwanuŋŋxanyw	mwakuŋŋaqnys
n'atendera	n'atendwra	n'stenders	g'xtendfra
yimuka	yymuka	ykmukq	yimokw
ebirerya	ebireryl	sfirsrya	eboferya
baakolanga	baakolangaz	baakomwgga	bqakomwnga
n'ebamira	n'ebamiraj	n'ebzmiga	n'ebzmiez
baliba	baldba	gqlkba	bwllbx
yayimiriranga	yayimirirania	ystlmiriragga	yayinirurangx
eyakuggya	eyakrggya	dyzkuggga	syakugdya
ng'eddoboozi	zg'eddoboozi	jv'dddobiozi	ng'dddobopal
enkoko	ebkoko	fnkojk	fnklmo
ekyambalo	eqyambalo	ekyambxlk	rkyambako
n'atamuddamu	n'stamuddamu	n'ahamudvanj	n'arzhudfamu
bigamba	bigakba	bigamga	vigamfa
bubeere	bgbeere	bybgere	bjgeeee
okukukulembera	okukukulemrera	okumukukembfrq	liykukulembvra
enoka	entka	eboks	enoja
bamwonoona	bamwonoonao	bajwonoona	bwmqknoona
eteridiba	etsridiba	etegidifs	eterkriba
anaayitanga	anaayitanga	ansajitanga	ajaayitanta
kumugoberera	kumugqberera	numurofefera	lumygobeeera
akuzibu	atuzibu	akuaibu	qkuwibu
he	hn	he	he
kyomukifuba	kyomtkifuba	uyojukifubx	kyojykifuga
ng'anyiize	ng'anfiize	ng'ahyiizs	ng'ajyjize
twakwonoona	twakwonoony	fwakwinooga	tdxkwonopnz
n'etonnya	n'etotnya	b'etpnnyq	n'stonyya
muliserengesa	mulisertngesa	mulisddrnbesa	iuliserehgesq
ebbumba	ebbemba	ebfhjba	ebbunra
