khuwakho	khuwarho	uhuwakhj	khuaalho
liraango	liraangov	lyraxngo	ojraanbo
kumukabo	kdmukabo	kujukxno	kunkuabo
bakhalaka	bakkalaka	baktalaka	nakhalaks
bibibawo	bibibaqo	gibobqwo	bubivaso
byakwo	byakeo	bgaldo	btakwk
khumwakaanisayo	khumwakaanisayoa	khhhwaksamidayo	khumwamaxniwxyo
kukufuura	kukufuuxa	kuoubkura	uukufukra
nilwo	nilwoe	nilwm	giiwo
bibibeelewo	bibibeelewd	vibibseldwo	blbibrepewk
bibyabira	bigyabira	bigyaboda	bivuabkra
ukibamo	mkibamo	jkufamo	ukivaml
bikhumala	bikhpmala	bkkhunalx	gikhunala
uwingilila	uwjngilila	kwihgilila	uwingllils
wamwiimisa	mamwiimisa	wxmwiikisz	wamwoumksa
sibuliwawo	sibulicawo	skbulisawk	siniliwaeo
ekyela	ekyela	ekheja	ektelx
bamuweelakho	jamuweelakho	famuwesiajho	bwjuweelakfo
mundekeerese	mundekeereve	mundekeegesw	mundeleaeese
khukanikhilekho	khukauikhilekho	khkkanokhilwkhi	uhukxnikhlpekho
tsisima	tsisica	taisyma	fzjsima
muluungo	muluupgo	kuiukngo	julhhngo
wakyeenda	wakyeevda	sanyeemda	wakgedndz
nikolawo	nikhlawo	nikoiadi	bkkolawo
khwababoolela	khvababoolela	uhszbablolela	khwababoilrpa
basilikhale	basilikhalg	hasiliuhape	basilikhajs
n'utsye	nyutsye	n'jtstr	n'ursgf
khwabuusa	khwabuuaa	kbezbuusa	lhwafuusq
wiila	wiild	wikoa	aiila
imbare	imbarea	kmgarw	kmfare
mare	mpre	nars	marr
khwakhwo	whwakhwo	khqajhqo	khewihwo
abonekhela	abunekhela	aboneibwla	wbohekhela
khubonamwo	khubonamwb	khubinajwk	uhubobamwo
awo	awor	qwo	asi
babarekeeresa	babwrekeeresa	bzbarskeedwsa	babadeoeegesa
umufuniaki	ymufuniaki	umufuhkaki	uiufuniaki
nayiyika	nayiwika	nzyuyikz	nqyoyikq
lilikhombekhebwa	liliqhombekhebwa	lipkkhomhekhebxa	milinhimhekhebaa
abonesebwa	abonesebwaw	abunesebwq	ablndsebwx
shishokesana	shisqokesana	syishokesznc	smizhoieswna
kaatso	qaatso	kaatdp	kaatso
bamwokesa	bamwskesa	bxhwokesq	bamwokssw
besaayi	besazyi	bdzxayi	bdsaayi
wasowoolayo	wasowoolayq	easowiolsyo	wasoeiolsyo
khuhelelakho	khuhelelamho	khuhekeiwkhk	khuhdlelalhi
wetsuba	wetfuba	wetrubw	wetsubx
s'abakho	u'abakho	s'absoto	s'abaohi
bakanikhe	bakanikhe	gakagiuhe	baksnikhx
kumulyuulyu	dumulyuulyu	kjmulyuulyh	lumumuuulyu
by'omuŋoosi	by'hmuŋoosi	by'ojuŋlpsi	by'ohuŋopqi
sikhurawo	sikhxrawo	siljurawp	xikhurawo
atima	atimt	atkja	stiks
